image_path,dice_score,,
BraTS2021_01569,2.2574794,,
BraTS2021_01494,1.8759968,,
BraTS2021_00177,2.2526574,,
BraTS2021_00401,2.1526728,,
BraTS2021_01115,2.6377642,,
BraTS2021_00491,2.2128925,,
BraTS2021_00612,2.1920822,,
BraTS2021_00640,2.3102162,,
BraTS2021_00204,2.2117813,,
BraTS2021_01397,2.4432101,,
BraTS2021_00824,2.51651,,
BraTS2021_01273,2.1633697,,
BraTS2021_01377,2.8428478,,
BraTS2021_00122,2.356991,,
BraTS2021_00299,2.160726,,
BraTS2021_01081,2.5718508,,
BraTS2021_00691,2.3143616,,
BraTS2021_00571,2.510892,,
BraTS2021_01660,2.5175776,,
BraTS2021_01628,2.3579535,,
BraTS2021_00260,2.1962872,,
BraTS2021_01472,2.5727115,,
BraTS2021_00674,2.209673,,
BraTS2021_01019,2.3383126,,
BraTS2021_00151,2.5064783,,
BraTS2021_01242,2.4654324,,
BraTS2021_00170,2.0208485,,
BraTS2021_00341,2.3354583,,
BraTS2021_01214,2.2677836,,
BraTS2021_00348,2.065835,,
BraTS2021_01655,2.407866,,
BraTS2021_01128,2.1928203,,
BraTS2021_00020,2.385563,,
BraTS2021_01178,2.6038597,,
BraTS2021_01297,2.1356015,,
BraTS2021_01456,2.336812,,
BraTS2021_01118,2.220651,,
BraTS2021_01366,2.0577545,,
BraTS2021_00370,2.4328086,,
BraTS2021_00219,2.6625993,,
BraTS2021_00432,2.0166843,,
BraTS2021_01201,2.1258595,,
BraTS2021_00095,2.1262703,,
BraTS2021_00753,2.4293187,,
BraTS2021_01385,2.5339453,,
BraTS2021_00760,2.2967649,,
BraTS2021_00360,2.6718218,,
BraTS2021_01396,2.1158345,,
BraTS2021_01390,2.3204696,,
BraTS2021_01488,2.323949,,
BraTS2021_01426,2.284449,,
BraTS2021_00570,2.2757072,,
BraTS2021_01346,2.1902182,,
BraTS2021_00800,2.417356,,
BraTS2021_01288,2.1099615,,
BraTS2021_00744,2.121799,,
BraTS2021_01332,2.3383815,,
BraTS2021_00206,2.4119875,,
BraTS2021_00555,2.469242,,
BraTS2021_01150,2.1278894,,
