image_id,dice_score
BraTS2021_01007,tensor(89.1626)
BraTS2021_00451,tensor(95.2831)
BraTS2021_01415,tensor(91.3596)
BraTS2021_00675,tensor(89.9126)
BraTS2021_00624,tensor(94.4912)
BraTS2021_01351,tensor(91.7711)
BraTS2021_00626,tensor(92.8657)
BraTS2021_00292,tensor(83.6130)
BraTS2021_01586,tensor(79.0321)
BraTS2021_00590,tensor(85.9850)
BraTS2021_01050,tensor(77.6294)
BraTS2021_00549,tensor(70.9323)
BraTS2021_01644,tensor(59.1604)
BraTS2021_01159,tensor(97.7493)
BraTS2021_00654,tensor(93.2936)
BraTS2021_01499,tensor(88.9686)
BraTS2021_00203,tensor(96.3520)
BraTS2021_01067,tensor(93.6498)
BraTS2021_00284,tensor(59.2257)
BraTS2021_01370,tensor(63.7575)
BraTS2021_01445,tensor(92.5213)
BraTS2021_01446,tensor(89.4676)
BraTS2021_00110,tensor(65.9394)
BraTS2021_00045,tensor(94.7802)
BraTS2021_00819,tensor(96.3488)
BraTS2021_00230,tensor(95.2504)
BraTS2021_00597,tensor(59.9630)
BraTS2021_01023,tensor(95.2639)
BraTS2021_01588,tensor(92.3085)
BraTS2021_01553,tensor(93.5179)
BraTS2021_01125,tensor(95.5794)
BraTS2021_01342,tensor(90.0806)
BraTS2021_00266,tensor(97.3487)
BraTS2021_00782,tensor(92.7162)
BraTS2021_00425,tensor(63.8945)
BraTS2021_01090,tensor(93.1771)
BraTS2021_00139,tensor(77.4480)
BraTS2021_01234,tensor(84.3544)
BraTS2021_01235,tensor(89.6752)
BraTS2021_00500,tensor(91.0516)
BraTS2021_00431,tensor(86.7891)
BraTS2021_00071,tensor(95.8924)
BraTS2021_01623,tensor(67.8610)
BraTS2021_01210,tensor(79.1646)
BraTS2021_01306,tensor(65.9706)
BraTS2021_01393,tensor(98.7243)
BraTS2021_01313,tensor(90.3914)
BraTS2021_01276,tensor(77.6303)
BraTS2021_00218,tensor(62.2177)
BraTS2021_00690,tensor(93.4354)
BraTS2021_01606,tensor(82.4812)
BraTS2021_00162,tensor(88.0292)
BraTS2021_01544,tensor(68.6217)
BraTS2021_01515,tensor(90.7785)
BraTS2021_01058,tensor(96.4548)
BraTS2021_01064,tensor(79.1059)
BraTS2021_01611,tensor(89.5677)
BraTS2021_00336,tensor(98.7822)
BraTS2021_01387,tensor(90.5082)
BraTS2021_01034,tensor(58.5941)
BraTS2021_01018,tensor(98.1902)
BraTS2021_01633,tensor(95.7144)
BraTS2021_00737,tensor(91.6260)
BraTS2021_00645,tensor(91.5871)
BraTS2021_00709,tensor(93.3526)
BraTS2021_01295,tensor(83.2897)
BraTS2021_01624,tensor(61.7564)
BraTS2021_00814,tensor(86.8627)
BraTS2021_00193,tensor(92.2254)
BraTS2021_01311,tensor(81.7570)
BraTS2021_01204,tensor(58.3792)
BraTS2021_01490,tensor(94.7898)
BraTS2021_01331,tensor(63.8721)
BraTS2021_01015,tensor(96.7022)
BraTS2021_01183,tensor(95.1645)
BraTS2021_00356,tensor(98.2475)
BraTS2021_00578,tensor(96.1293)
BraTS2021_01190,tensor(88.5952)
BraTS2021_00068,tensor(94.5887)
BraTS2021_00516,tensor(93.1089)
BraTS2021_01458,tensor(90.1306)
BraTS2021_01195,tensor(95.5711)
BraTS2021_01069,tensor(96.7004)
BraTS2021_00166,tensor(97.9481)
BraTS2021_00548,tensor(95.7524)
BraTS2021_01374,tensor(96.8558)
BraTS2021_01200,tensor(86.2402)
BraTS2021_01232,tensor(70.7214)
BraTS2021_01192,tensor(88.5870)
BraTS2021_00183,tensor(98.1228)
BraTS2021_00792,tensor(87.3938)
BraTS2021_00518,tensor(93.1506)
BraTS2021_00138,tensor(91.1788)
BraTS2021_01175,tensor(90.2710)
BraTS2021_01361,tensor(95.9759)
BraTS2021_01255,tensor(57.8808)
BraTS2021_00540,tensor(57.5056)
BraTS2021_00281,tensor(98.4156)
BraTS2021_00025,tensor(78.7722)
BraTS2021_01000,tensor(98.6529)
BraTS2021_01545,tensor(81.0703)
BraTS2021_01270,tensor(95.3161)
BraTS2021_01658,tensor(94.0718)
BraTS2021_01489,tensor(91.3587)
BraTS2021_00030,tensor(96.3687)
BraTS2021_01520,tensor(86.5956)
BraTS2021_00538,tensor(81.4364)
BraTS2021_00059,tensor(96.9788)
BraTS2021_00608,tensor(96.5672)
BraTS2021_00577,tensor(88.0832)
BraTS2021_00649,tensor(97.1847)
BraTS2021_01496,tensor(90.3792)
BraTS2021_01641,tensor(96.0660)
BraTS2021_00512,tensor(82.2754)
BraTS2021_00579,tensor(88.6599)
BraTS2021_00097,tensor(92.8204)
BraTS2021_01429,tensor(86.0786)
BraTS2021_00061,tensor(88.3498)
BraTS2021_01455,tensor(93.6797)
BraTS2021_01222,tensor(63.4324)
BraTS2021_01172,tensor(88.5972)
BraTS2021_01132,tensor(91.5916)
BraTS2021_01322,tensor(83.3727)
BraTS2021_00804,tensor(98.1779)
BraTS2021_01338,tensor(97.5342)
BraTS2021_01379,tensor(87.3155)
BraTS2021_00294,tensor(93.0804)
BraTS2021_01627,tensor(97.5907)
BraTS2021_00379,tensor(87.5813)
BraTS2021_01516,tensor(70.6470)
BraTS2021_01615,tensor(41.2716)
BraTS2021_00346,tensor(74.5621)
BraTS2021_00611,tensor(89.8141)
BraTS2021_00545,tensor(96.5935)
BraTS2021_01630,tensor(95.5332)
BraTS2021_00008,tensor(60.6138)
BraTS2021_00787,tensor(92.3695)
BraTS2021_00123,tensor(91.5274)
BraTS2021_00311,tensor(95.5078)
BraTS2021_00236,tensor(96.7740)
BraTS2021_01152,tensor(87.3991)
BraTS2021_01102,tensor(94.1234)
BraTS2021_01283,tensor(87.8410)
BraTS2021_01164,tensor(97.7223)
BraTS2021_01444,tensor(91.9502)
BraTS2021_00216,tensor(98.2035)
BraTS2021_00253,tensor(94.2020)
BraTS2021_00729,tensor(88.1103)
BraTS2021_01484,tensor(88.1700)
BraTS2021_01215,tensor(74.4579)
BraTS2021_00212,tensor(78.7824)
BraTS2021_00167,tensor(89.1801)
BraTS2021_01457,tensor(83.3643)
BraTS2021_01449,tensor(87.7723)
BraTS2021_01412,tensor(68.2031)
BraTS2021_00214,tensor(96.5633)
BraTS2021_00021,tensor(71.7449)
BraTS2021_01384,tensor(97.9014)
BraTS2021_00828,tensor(76.0288)
BraTS2021_01317,tensor(97.5080)
BraTS2021_00033,tensor(65.1827)
BraTS2021_00707,tensor(93.7589)
BraTS2021_01421,tensor(92.0469)
BraTS2021_00003,tensor(97.7179)
BraTS2021_01479,tensor(79.0861)
BraTS2021_01466,tensor(94.8043)
BraTS2021_00693,tensor(91.5382)
BraTS2021_00796,tensor(95.4206)
BraTS2021_01646,tensor(58.4021)
BraTS2021_01264,tensor(91.6950)
BraTS2021_01447,tensor(86.8488)
BraTS2021_01093,tensor(96.8698)
BraTS2021_01257,tensor(67.8009)
BraTS2021_01422,tensor(81.6106)
BraTS2021_00999,tensor(92.1179)
BraTS2021_01420,tensor(62.1862)
BraTS2021_00511,tensor(97.7460)
BraTS2021_00128,tensor(88.5732)
BraTS2021_01089,tensor(97.3772)
BraTS2021_01260,tensor(91.7514)
BraTS2021_01408,tensor(93.2121)
BraTS2021_00064,tensor(92.0005)
BraTS2021_00544,tensor(95.6436)
BraTS2021_00006,tensor(98.8691)
BraTS2021_01413,tensor(63.5523)
BraTS2021_00698,tensor(96.7008)
BraTS2021_01327,tensor(77.3278)
BraTS2021_01254,tensor(95.6880)
BraTS2021_01643,tensor(89.1222)
BraTS2021_00237,tensor(97.0212)
BraTS2021_01061,tensor(97.8320)
BraTS2021_00238,tensor(92.7019)
BraTS2021_00024,tensor(90.3787)
BraTS2021_00663,tensor(98.2808)
BraTS2021_01560,tensor(95.5029)
BraTS2021_01060,tensor(97.3293)
BraTS2021_01402,tensor(92.6959)
BraTS2021_00723,tensor(95.9451)
BraTS2021_00112,tensor(59.3365)
BraTS2021_01029,tensor(96.5858)
BraTS2021_01564,tensor(94.9712)
BraTS2021_01284,tensor(93.3647)
BraTS2021_01278,tensor(66.5985)
BraTS2021_00410,tensor(72.7173)
BraTS2021_00703,tensor(95.3809)
BraTS2021_00259,tensor(96.5184)
BraTS2021_00132,tensor(88.1054)
BraTS2021_01666,tensor(87.1721)
BraTS2021_01334,tensor(86.2082)
BraTS2021_00377,tensor(84.5337)
BraTS2021_01256,tensor(96.8710)
BraTS2021_01028,tensor(94.0534)
BraTS2021_01344,tensor(50.1192)
BraTS2021_00820,tensor(94.3208)
BraTS2021_00567,tensor(90.4454)
BraTS2021_01492,tensor(78.4649)
BraTS2021_01126,tensor(97.8339)
BraTS2021_00273,tensor(95.6606)
BraTS2021_01380,tensor(63.3825)
BraTS2021_01268,tensor(92.4148)
BraTS2021_00178,tensor(96.9442)
BraTS2021_01326,tensor(96.2870)
BraTS2021_01450,tensor(80.3854)
BraTS2021_00231,tensor(94.5593)
BraTS2021_01184,tensor(77.9868)
BraTS2021_01645,tensor(74.5036)
BraTS2021_01315,tensor(97.4742)
BraTS2021_00375,tensor(87.8763)
BraTS2021_01104,tensor(83.6746)
BraTS2021_00442,tensor(96.4984)
BraTS2021_01585,tensor(94.8728)
