image_path,dice_score
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01307,96.90661
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00389,96.33553
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01305,97.40085
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00593,95.73483
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00318,92.4724
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01203,91.0376
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01123,90.28342
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00130,87.58163
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00127,95.45903
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00679,79.78885
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01625,95.937485
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00331,13.67524
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01221,83.06124
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00772,95.170715
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01141,96.11664
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00606,94.79234
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01510,40.055073
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00399,96.06392
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00199,96.84478
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01562,94.845055
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01001,96.2632
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01106,87.62536
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00267,97.01335
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00314,91.26982
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01279,87.87041
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00539,91.84929
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01363,83.15448
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01318,94.78407
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01478,70.52702
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00364,98.32361
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01352,87.06853
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00419,89.767204
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00306,96.414185
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01598,95.24181
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01248,90.43567
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01485,61.588852
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_00765,86.416245
../datasets/RSNA_ASNR_MICCAI_BraTS2021_TrainingData_16July2021/BraTS2021_01365,58.594017
