image_id,dice_score
BraTS2021_00103,tensor(95.5399)
BraTS2021_01505,tensor(86.8995)
BraTS2021_01558,tensor(64.3117)
BraTS2021_01342,tensor(92.1771)
BraTS2021_01480,tensor(73.0126)
BraTS2021_01051,tensor(83.9980)
BraTS2021_01295,tensor(92.2363)
BraTS2021_01612,tensor(96.8478)
BraTS2021_00192,tensor(95.9300)
BraTS2021_01219,tensor(63.5947)
BraTS2021_01274,tensor(80.3755)
BraTS2021_01466,tensor(95.4917)
BraTS2021_01599,tensor(95.4580)
BraTS2021_01544,tensor(85.1058)
BraTS2021_00594,tensor(96.6671)
BraTS2021_01117,tensor(96.0120)
BraTS2021_01490,tensor(95.4148)
BraTS2021_01284,tensor(93.8346)
BraTS2021_01398,tensor(96.9692)
BraTS2021_00747,tensor(97.3652)
BraTS2021_01071,tensor(90.7216)
BraTS2021_00222,tensor(88.6355)
BraTS2021_00096,tensor(94.5844)
BraTS2021_01243,tensor(90.9486)
BraTS2021_00823,tensor(96.0764)
BraTS2021_00392,tensor(96.0320)
BraTS2021_00581,tensor(96.0338)
BraTS2021_00580,tensor(95.2020)
BraTS2021_01522,tensor(87.1855)
BraTS2021_01404,tensor(96.5602)
BraTS2021_01608,tensor(98.1858)
BraTS2021_01216,tensor(74.6582)
BraTS2021_01402,tensor(97.3673)
BraTS2021_01197,tensor(96.2029)
BraTS2021_01018,tensor(98.4563)
BraTS2021_01228,tensor(88.5527)
BraTS2021_00631,tensor(98.8626)
BraTS2021_00704,tensor(98.7640)
BraTS2021_00144,tensor(96.1581)
BraTS2021_01334,tensor(93.9079)
BraTS2021_01553,tensor(94.7503)
BraTS2021_01423,tensor(47.5818)
BraTS2021_01056,tensor(93.5111)
BraTS2021_01249,tensor(92.3607)
BraTS2021_01573,tensor(90.2129)
BraTS2021_00008,tensor(91.6579)
BraTS2021_00464,tensor(87.3295)
BraTS2021_01240,tensor(77.1977)
BraTS2021_00816,tensor(96.8412)
BraTS2021_00459,tensor(65.4166)
BraTS2021_00767,tensor(97.7865)
BraTS2021_00803,tensor(83.7774)
BraTS2021_00356,tensor(98.6422)
BraTS2021_00796,tensor(96.7751)
BraTS2021_00616,tensor(98.5243)
BraTS2021_01326,tensor(96.9578)
BraTS2021_01474,tensor(80.4412)
BraTS2021_00172,tensor(93.6876)
BraTS2021_00051,tensor(95.4505)
BraTS2021_00556,tensor(92.6861)
BraTS2021_00789,tensor(98.3435)
BraTS2021_00406,tensor(97.9684)
BraTS2021_01517,tensor(88.0117)
BraTS2021_01079,tensor(97.9235)
BraTS2021_01451,tensor(75.1146)
BraTS2021_00133,tensor(94.1358)
BraTS2021_00403,tensor(87.7963)
BraTS2021_00033,tensor(65.5838)
BraTS2021_00652,tensor(95.7823)
BraTS2021_01255,tensor(61.0950)
BraTS2021_00311,tensor(97.7445)
BraTS2021_00126,tensor(97.0814)
BraTS2021_00109,tensor(91.1722)
BraTS2021_00807,tensor(93.8495)
BraTS2021_01518,tensor(94.9452)
BraTS2021_01467,tensor(81.9443)
BraTS2021_01465,tensor(94.4056)
BraTS2021_01256,tensor(97.2583)
BraTS2021_01540,tensor(89.0460)
BraTS2021_00646,tensor(97.4371)
BraTS2021_01411,tensor(95.1898)
BraTS2021_00290,tensor(90.8077)
BraTS2021_00237,tensor(98.1948)
BraTS2021_01624,tensor(62.3097)
BraTS2021_01437,tensor(91.7480)
BraTS2021_01177,tensor(92.2480)
BraTS2021_00147,tensor(88.1020)
BraTS2021_01066,tensor(97.1392)
BraTS2021_01638,tensor(97.5971)
BraTS2021_01329,tensor(85.5732)
BraTS2021_01570,tensor(97.8500)
BraTS2021_01388,tensor(98.1791)
BraTS2021_00286,tensor(94.0414)
BraTS2021_01572,tensor(94.8593)
BraTS2021_00351,tensor(97.7954)
BraTS2021_01491,tensor(85.2458)
BraTS2021_00094,tensor(97.1486)
BraTS2021_00234,tensor(95.0602)
BraTS2021_00142,tensor(90.4102)
BraTS2021_01070,tensor(95.6278)
BraTS2021_01281,tensor(94.0698)
BraTS2021_00087,tensor(94.8238)
BraTS2021_00154,tensor(91.4090)
BraTS2021_00494,tensor(89.7132)
BraTS2021_01630,tensor(95.6367)
BraTS2021_01543,tensor(92.0598)
BraTS2021_00233,tensor(95.9880)
BraTS2021_01245,tensor(89.0851)
BraTS2021_00231,tensor(95.0431)
BraTS2021_00088,tensor(96.9117)
BraTS2021_00383,tensor(96.2171)
BraTS2021_01514,tensor(89.3533)
BraTS2021_01387,tensor(91.7253)
BraTS2021_01313,tensor(92.6782)
BraTS2021_01632,tensor(96.3007)
BraTS2021_01168,tensor(92.1962)
BraTS2021_00263,tensor(96.1995)
BraTS2021_00285,tensor(82.0334)
BraTS2021_00045,tensor(95.3387)
BraTS2021_00247,tensor(93.4055)
BraTS2021_01092,tensor(98.8232)
BraTS2021_01417,tensor(88.9483)
BraTS2021_00298,tensor(97.3602)
BraTS2021_01188,tensor(85.4241)
BraTS2021_01008,tensor(93.8918)
BraTS2021_01333,tensor(49.5974)
BraTS2021_00074,tensor(90.9081)
BraTS2021_01503,tensor(82.5819)
BraTS2021_01617,tensor(96.6111)
BraTS2021_00782,tensor(97.0041)
BraTS2021_00733,tensor(97.0782)
BraTS2021_01609,tensor(95.9664)
BraTS2021_00006,tensor(98.4964)
BraTS2021_01175,tensor(94.8084)
BraTS2021_00347,tensor(97.4655)
BraTS2021_01361,tensor(96.6928)
BraTS2021_00346,tensor(95.2287)
BraTS2021_01629,tensor(91.7683)
BraTS2021_01215,tensor(74.8265)
BraTS2021_01435,tensor(93.2650)
BraTS2021_00246,tensor(97.6149)
BraTS2021_01587,tensor(97.8571)
BraTS2021_01369,tensor(92.7238)
BraTS2021_00418,tensor(94.7139)
BraTS2021_00212,tensor(83.3493)
BraTS2021_01586,tensor(94.1319)
BraTS2021_00454,tensor(94.0939)
BraTS2021_01121,tensor(98.2543)
BraTS2021_00443,tensor(92.0181)
BraTS2021_00303,tensor(94.9663)
BraTS2021_00201,tensor(98.2714)
BraTS2021_00630,tensor(94.8181)
BraTS2021_01065,tensor(97.0108)
BraTS2021_01468,tensor(85.0319)
BraTS2021_00284,tensor(60.0218)
BraTS2021_01077,tensor(58.6691)
BraTS2021_00146,tensor(92.3730)
BraTS2021_01068,tensor(94.2962)
BraTS2021_01025,tensor(91.4742)
BraTS2021_00404,tensor(93.0600)
BraTS2021_00577,tensor(92.6664)
BraTS2021_00317,tensor(94.6078)
BraTS2021_01575,tensor(87.8693)
BraTS2021_01408,tensor(95.6589)
BraTS2021_01635,tensor(91.6897)
BraTS2021_00530,tensor(95.3273)
